# Date:             13-08-28 2022-09-15
# MX Version:       1.5.1-d066dirty-windows_10.0_x64 hash: f214dedd Sat May 7 20:31:35 2022
# Computation type: Optimal control solution
# Model name:       Rocciatore
#
# converged            = YES
# num_equations        = 30609
# Lagrange target      = 0.09383550341340541
# Mayer target         = 7.752705593971347
# Penalties            = 0
# Control Penalties    = 0.009239217792374587
# max_iter             = 80
# max_step_iter        = 40
# max_accumulated_iter = 800
# tolerance            = 1e-09
# iterations           = 16
# cpu_time             = 1.7353835 s
# solver_type          = CyclicReduction+QR and LastBlock LUPQ
# lapack version       = Openblas
#
# SOLUTION
i_segment	zeta	lagrange_target	inequality_penalties	penalties	control_penalties	Fr	Fr_cell	theta	phi	psi	l	omega	r	T	Fut	Fun	lambda1__xo	lambda2__xo	lambda3__xo	lambda4__xo	lambda5__xo	lambda6__xo	lambda7__xo	lambda8__xo	lambda9__xo	theta_D	phi_D	psi_D	l_D	omega_D	r_D	T_D	Fut_D	Fun_D	mu0_D	mu1_D	mu2_D	mu3_D	mu4_D	mu5_D	mu6_D	mu7_D	mu8_D	FrControl	T_positive	X_positive	Actuation	FrictionPositive	FrictionNegative	Fun_positive	cone
0	0	0	-0.122362129033452283	0	0.0167560552973996073	-0.0705784470818157095	-0.0705784470818157095	0.356123915361400534	1.31029483217401999	0	7.89323830486199274	0	0	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.705165459310388765	-0.528941625311949659	0.0614004269353699145	0	0	0.129134684666311922	0.0123269314199166494	-0.10671190901362082	0	0	0	-0.0882224066830980674	0	-0.655506836386470448	15.592332457106572	0	0	0	-0.367329457546398508	-0	-0.104285241703088505	-0.0108619779181695665	-1.19768467477041773	0.898378203469878178	1.03013276874216886	-0.000809217364508581184	-0.00295552945329428983	0.0167560552973996073	-0.0413488325097701795	-0.0326099013179106806	1.00000400473127059e-10	4.94277433209150597e-05	0.00016842986982244169	-0.0486212529189151907	0
0	0.000588581518540317802	2.10821122408836154e-10	-0.122403289618061906	0	0.0167496958161530568	-0.0707545416898093527	-0.0709306362978029958	0.356123725143509651	1.31029480333676362	-5.76933623691257047e-05	7.89324289204242291	-0.000380560120063682143	0.00917735932686714051	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.704965385906788367	-0.528947178535312479	0.0613783461812741557	-4.54833497423736156e-07	-1.92112367006065048e-07	0.128429677735334091	0.0122655603438686801	-0.106183143740995301	0.000609424562959772886	-0.000646360393310811991	-9.79889968136733226e-05	-0.108772192380156021	0.0155872391018687523	-0.636767148071033184	15.5922756916835592	0	0	0	-0.366315528183822681	-0	-0.104253662148249215	-0.0105297333029338649	-1.19792755551019381	0.898366251182872833	1.0288572267034386	-0.000992742689073943755	-0.00362407057362184974	0.0167496958161530568	-0.0413488325097701795	-0.0326099030976709711	1.00000608768994239e-10	4.00895943705739533e-05	0.000136609213923247707	-0.0486212529189151907	0
0	0.0011771630370806356	8.51736243443364291e-10	-0.122435961508358962	0	0.0167369613402218939	-0.0711084828051450346	-0.0712863293124870734	0.356123160535089689	1.31029471019647148	-0.000128648104574260986	7.8932566535502815	-0.000749025782969803527	0.018354651768197873	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.704765872904668078	-0.528952521588564317	0.0613562654325894574	-1.04141551859294197e-06	-8.25656974812408548e-07	0.127724538794360715	0.0122042074748733454	-0.105654385364067807	0.00121802615569023185	-0.00127217901759986299	-0.000218501716515632648	-0.1334412384437558	0.0311743646023396187	-0.614267055053711597	15.5921643430208334	0	0	0	-0.365429933482930458	-0	-0.104223371333013057	-0.0101459660174676846	-1.19813332792497773	0.898354770243864342	1.02733142495691609	-0.00121180126656940499	-0.00442157965693959487	0.0167369613402218939	-0.0413488325097701795	-0.032609908848055022	1.00000916218565975e-10	3.26782693513405357e-05	0.000111354399029178235	-0.0486212529189151907	0
0	0.00176574455562095341	1.93570925902026551e-09	-0.122462012166110981	0	0.0167241640566323582	-0.0714659539130695215	-0.0716455785136519696	0.356122234819240491	1.31029453818954544	-0.000215478181707783381	7.89327958931999873	-0.0011030110208596431	0.0275318799112931611	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.704566839175360227	-0.528957621917854781	0.0613341846956669684	-1.77942192089556726e-06	-1.97982895958544694e-06	0.127019291477116131	0.0121428719819525657	-0.105125633590125764	0.00182564884063512339	-0.00187340343793694609	-0.000365977817789302825	-0.162890371240429349	0.0467613808958007096	-0.587404237843775934	15.5920571293062658	0	0	0	-0.364692194446771811	-0	-0.104194614874400363	-0.00970292265299913664	-1.19829591733189922	0.898343812262676678	1.02552145799553518	-0.00147180123279793502	-0.00536756906699849528	0.0167241640566323582	-0.0413488325097701795	-0.0326099194723095467	1.00001365253354807e-10	2.67702816834592213e-05	9.12223531991032942e-05	-0.0486212529189151907	0
0	0.00235432607416127121	3.47609592137061723e-09	-0.122482877529905138	0	0.0167113033430248206	-0.0718270079344124068	-0.0720084373551728579	0.356120963850643013	1.31029426993478526	-0.000321206686604871958	7.89331169928842424	-0.00143975695820663897	0.0367090460123391943	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.704368191569070379	-0.528962442198363303	0.061312103978274933	-2.69246827391415232e-06	-3.74633882253688213e-06	0.126313963256172168	0.0120815528788127142	-0.104596888093889867	0.00243211349592749879	-0.00244534785626695844	-0.000545551857228881109	-0.197849010441752238	0.0623482918142599443	-0.555513879858059556	15.5919534382145635	0	0	0	-0.364123621179879231	-0	-0.104167674828564968	-0.00919215124509018683	-1.19840835651944011	0.898333436239578842	1.02338620206968756	-0.00177864723921081474	-0.00648331542186823036	0.0167113033430248206	-0.0413488325097701795	-0.0326099360484456771	1.00002014166049958e-10	2.20400888291638485e-05	7.51037583947377865e-05	-0.0486212529189151907	0
0	0.00294290759270158901	5.48665693823754092e-09	-0.122499666257361361	0	0.0166983785670490395	-0.0721916988712432706	-0.0723749603873136832	0.356119366446667918	1.31029388480427311	-0.000449306083229946329	7.89335298339446823	-0.00175609515465092276	0.0458861519354806235	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.704169823883180057	-0.52896693993241839	0.0612900232898676636	-3.80825628943665413e-06	-6.2303115243107664e-06	0.125608585990274996	0.0120202490014749992	-0.104068148512993633	0.00303721579313584889	-0.00298263085123433649	-0.000763121623529158279	-0.239114223323562941	0.0779351005238642924	-0.5178695306231762	15.5918525504551386	0	0	0	-0.363747224678441894	-0	-0.10414287281572944	-0.00860453888034742875	-1.19846271123300041	0.898323709139898008	1.02088118696966879	-0.00213871647533459214	-0.00779176665762616738	0.0166983785670490395	-0.0413488325097701795	-0.0326099598558538539	1.00002942019102401e-10	1.82364477581863458e-05	6.21424794167240954e-05	-0.0486212529189151907	0
0	0.00353148911124190681	7.98157155346240915e-09	-0.122513237859695506	0	0.0166853890860458529	-0.0725600818378470125	-0.0727452032883803557	0.356117464814610263	1.31029335845460815	-0.000603737301236410622	7.8934034415786769	-0.00204841198566534707	0.0550631990885743008	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.703971615901184289	-0.528971067077162904	0.0612679426418943629	-5.15873458686190107e-06	-9.55114018984937405e-06	0.124903196513813042	0.0119589589841307582	-0.103539414443142408	0.00364072429826889582	-0.00347911488070709466	-0.00102541453744095404	-0.287547713703986851	0.093521809415781032	-0.473685848236172546	15.5917536362025846	0	0	0	-0.363587562682167464	-0	-0.104120572927221253	-0.00793037535822192427	-1.19845001148693941	0.89831470640872324	1.01795886855988438	-0.00255881659150261273	-0.00931738358288172579	0.0166853890860458529	-0.0413488325097701795	-0.0326099924043773554	1.00004254655124348e-10	1.51646942997265057e-05	5.16751790632381504e-05	-0.0486212529189151907	0
0	0.00412007062978222462	1.09754516299550396e-08	-0.122524261488088052	0	0.0166723342467170188	-0.0729322130929252466	-0.0731192228974701375	0.356115285013414329	1.31029266232028907	-0.000788986373933650738	7.89346307378274137	-0.00231261525975583106	0.0642401883585043687	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.703773432543718713	-0.528974769718092985	0.0612458620481511964	-6.7802540524150113e-06	-1.38432463906853367e-05	0.124197837264071298	0.011897681233387367	-0.103010685432995241	0.00424237877284163074	-0.00392784958293115622	-0.00134004987933913997	-0.344070401237207391	0.109108419996334013	-0.422123533176507415	15.5916557574723917	0	0	0	-0.36367051080516144	-0	-0.104101184287735044	-0.00715944617673589401	-1.19836019183951614	0.898306512398574841	1.01456903969072476	-0.0030461231337058684	-0.0110859076050780717	0.0166723342467170188	-0.0413488325097701795	-0.0326100354657321845	1.0000609189629601e-10	1.26734127635066006e-05	4.31858935599079382e-05	-0.0486212529189151907	0
0	0.00470865214832254242	1.44833562588112966e-08	-0.122533260329110147	0	0.0166592133847760365	-0.0733081500730350666	-0.0734970772486000096	0.356112857446963471	1.31029176307245243	-0.00101009710368495076	7.89353187994895134	-0.00254410445043318136	0.0734171200502809485	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.703575123178027284	-0.528977987806593219	0.0612237815251797726	-8.71369887645257039e-06	-1.92566961666098329e-05	0.123492556939967218	0.0118364139011495079	-0.102481960978829487	0.00484188876081593795	-0.00432102121717484796	-0.00171559426960098734	-0.409654266090778596	0.124694932783566109	-0.362296747543834674	15.591557878957401	0	0	0	-0.364022951202991552	-0	-0.104085163131001107	-0.00628115764453338402	-1.19818204411773199	0.898299220680239485	1.01065939367418078	-0.00360809439739510126	-0.0131240474546265931	0.0166592133847760365	-0.0413488325097701795	-0.0326100911070739477	1.00008635961477721e-10	1.06443710788256517e-05	3.62717355617112028e-05	-0.0486212529189151907	0
0	0.00529723366686286022	1.8520806922057119e-08	-0.122540645257643716	0	0.0166460258245907759	-0.0736879514273110214	-0.0738788256060220472	0.356110217384550065	1.31029062204779434	-0.0012726980571055467	7.89360986001958143	-0.00273774608538890568	0.0825939938357659054	1.69844489538906851	-1.34390536409579697	3.51470327847710617	0.703376521136356625	-0.528980654981060949	0.0612017010927149718	-1.10045748245181459e-05	-2.59576184996260664e-05	0.122787411183827175	0.0117751548564677521	-0.10195324051906654	0.00543893255476603221	-0.00464991086360019151	-0.00216160751846250108	-0.485311171523346352	0.140281347220152786	-0.293283279201765057	15.591458890320876	0	0	0	-0.364672372621722585	-0	-0.104073014234494235	-0.00528469623842634136	-1.1979031863665166	0.89829293420494849	1.00617625148780609	-0.00425236205334139552	-0.0154590794227887924	0.0166460258245907759	-0.0413488325097701795	-0.0326101617264115892	1.00012121042213885e-10	8.98489362260089035e-06	3.06169038185241253e-05	-0.0486212529189151907	0
