# Date:             15-48-44 2022-09-15
# MX Version:       1.5.1-d066dirty-windows_10.0_x64 hash: f214dedd Sat May 7 20:31:35 2022
# Computation type: Optimal control solution
# Model name:       Rocciatore
#
# converged            = YES
# num_equations        = 56187
# Lagrange target      = 0.41092177610069225
# Mayer target         = 8.631162997618407
# Penalties            = 0
# Control Penalties    = 0.0035960894657997124
# max_iter             = 80
# max_step_iter        = 40
# max_accumulated_iter = 800
# tolerance            = 1e-09
# iterations           = 71
# cpu_time             = 9.975909 s
# solver_type          = CyclicReduction+QR and LastBlock LUPQ
# lapack version       = Openblas
#
# SOLUTION
i_segment	zeta	lagrange_target	inequality_penalties	penalties	control_penalties	Fr	Fr_cell	theta	phi	psi	l	omega	r	T	Fut	Fun	lambda1__xo	lambda2__xo	lambda3__xo	lambda4__xo	lambda5__xo	lambda6__xo	lambda7__xo	lambda8__xo	lambda9__xo	theta_D	phi_D	psi_D	l_D	omega_D	r_D	T_D	Fut_D	Fun_D	mu0_D	mu1_D	mu2_D	mu3_D	mu4_D	mu5_D	mu6_D	mu7_D	mu8_D	FrControl	T_positive	X_positive	Actuation	FrictionPositive	FrictionNegative	Fun_positive	cone
0	0	0	0.289618679747241481	0	0.0125194587531884741	-0.371564078753320204	-0.371564078753320204	0.0400106743335087861	6.12813062506445914e-17	0	7.99360767386377091	0	0	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.205369379807777308	-0.412092891668234762	-6.79012691606236185	0	0	9.19845780420579118	-0.833573288596215156	-0.0111943187830358011	0	0	0	4.65427462317928331	0	0.113034514407743439	30.3568285327191845	0	0	0	-61.7287896144030412	-0	21.1893701337930125	-0.355275853950215326	0.640878713562847313	1.2859831515678104	1.01895301864590171	0.86532103967280094	-0.381951733595211729	0.0125194587531884741	-0.0474320020012488491	-0.0246493654211787476	1.00001731198042898e-10	0.452907587248970345	2.09589446031283131e-05	-0.0546324634802921871	-0.0365960356436139805
0	0.000320512820512820513	6.79143783164688881e-09	0.240405803217875191	0	0.012470405816754529	-0.37878612184563526	-0.386008164937950315	0.0400106949774802004	7.90182467230652049e-07	0.00158005361365185794	7.99361253969867658	4.12798094022969858e-05	0.00972975274218496056	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.226762823664898527	-0.412209992310697326	-6.79012982765244111	-0.0305746764907248725	0.0214779031735526128	9.1986523417361532	-0.826784270058111947	-0.0107822029670567015	0.000336313841713989988	0.000128818381642995851	0.00493073859513687342	5.21962556932147592	0.0303628098138705206	0.145373848189725652	30.3523212067660886	0	0	0	-72.6147380979005135	-0	21.1741531155605998	-0.372581493368998151	0.573872023704145584	1.28562367847518955	1.07400349462177735	0.96253131789228652	-0.428358199028320341	0.012470405816754529	-0.0474320020012488491	-0.0246493766651923706	1.00002177348999288e-10	0.403696972254722564	1.86887275047521307e-05	-0.0546324634802921871	-0.0365960157176208958
0	0.000641025641025641025	2.93546555259125161e-08	0.190058766887450048	0	0.0123712995295174044	-0.393809492469780142	-0.401610820001609969	0.0400107623623240372	3.25605253178388612e-06	0.00335071499761644374	7.99362713575845962	9.34633295982346875e-05	0.019456616183322506	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.251808694101783692	-0.412332837679990405	-6.79013273926617433	-0.0622451440722677704	0.0437300446153292763	9.19882384162007583	-0.820000392371080244	-0.0103702039306401636	0.000690981822584411194	0.000291663043898176492	0.0104562906076753111	5.84493238300602869	0.0607166032323071328	0.18114622669818356	30.3429452177523871	0	0	0	-84.5384894340797786	-0	21.1572969482538014	-0.391132520460584721	0.497223858007833863	1.28525493764097432	1.13352205827930486	1.06901163092903229	-0.479691053214599927	0.0123712995295174044	-0.0474320020012488491	-0.0246494117574853622	1.00002730391410327e-10	0.353351910289002591	1.66890840231860823e-05	-0.0546324634802921871	-0.0365959553465520712
0	0.000961538461538461592	7.15902264959771317e-08	0.139327090141012827	0	0.0122682532081452647	-0.410063618766706162	-0.418516417531802409	0.0400108879677870607	7.59827670461230481e-06	0.00533202257329119887	7.99365145903741237	0.000157698109668279185	0.0291803586938823752	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.280851630761461746	-0.412461832990249133	-6.79013565092857085	-0.0945561712467019311	0.0664382707841426196	9.19896907310540968	-0.813222206158990213	-0.0099583246920703708	0.00106547773781521171	0.000492115045339744654	0.0166391882307740102	6.53540064151231537	0.09106065742878372	0.220650758609105324	30.3328015798010249	0	0	0	-97.575715239828881	-0	21.1386446318675389	-0.410965207807110045	0.410067663069843658	1.28487667916454784	1.19775019514107672	1.18544032995271142	-0.536379210483866831	0.0122682532081452647	-0.0474320020012488491	-0.0246494735616577774	1.00003413795040474e-10	0.302621956905849088	1.49254597654695859e-05	-0.0546324634802921871	-0.0365958532814063611
0	0.00128205128205128205	1.38412266904177569e-07	0.0891372866689299492	0	0.0121609431232512083	-0.427705318694741377	-0.436894219857680288	0.0400110844707797925	1.4038422943852033e-05	0.00754573257889448387	7.99368550628373864	0.000235230456406110533	0.0389007198273158689	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.31426098223668808	-0.412597394131672734	-6.79013856266658067	-0.126918397280701589	0.0891905512159961722	9.19908451861770082	-0.806450314229098186	-0.00954656833983469864	0.00146134729382805671	0.000734063629317346358	0.0235473243020819026	7.29654463133485542	0.121394159649961711	0.264204636347600053	30.3217926472076407	0	0	0	-111.804879134617863	-0	21.1180275916021536	-0.432109618174670529	0.311481080742304905	1.28448871816621146	1.26690941478576802	1.31252153796822113	-0.598877329049592899	0.0121609431232512083	-0.0474320020012488491	-0.0246495652397774115	1.00004255648702628e-10	0.252433657464848249	1.33679675422143272e-05	-0.0546324634802921871	-0.036595708142146334
0	0.00160256410256410251	2.36053998473718366e-07	0.0405943739104520293	0	0.0120490043118610043	-0.446919085037489283	-0.456943950217298278	0.0400113658470673955	2.28207284131875131e-05	0.0100154182559590282	7.99372927396825705	0.000327411260539578193	0.0486174053623949567	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.352431667262042336	-0.412739945501646166	-6.79014147450929073	-0.158599833314905625	0.111475026608888264	9.19916635570641894	-0.799685375354411976	-0.0091349380097308832	0.00188020614196958056	0.0010217244053470566	0.0312542618265714972	8.13418829591221737	0.151716191744740381	0.312143295150173472	30.3098035750863204	0	0	0	-127.307015434743391	-0	21.0952652280141528	-0.454588472155366297	0.200484944502522244	1.28409094747645325	1.34121387251533064	1.45098336949993767	-0.667665978172032548	0.0120490043118610043	-0.0474320020012488491	-0.0246496902776371478	1.00005289444155212e-10	0.203892057249786207	1.19907264191136774e-05	-0.0546324634802921871	-0.0365955184065804087
0	0.00192307692307692318	3.72481546392365838e-07	-0.00503444471157585977	0	0.011932023343260139	-0.467923435957254774	-0.47890292169721127	0.0400117474788038788	3.42139664028351563e-05	0.012766568949130119	7.99378275824758067	0.000435701854934373602	0.0583300812361093046	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.395784957570423201	-0.412889917462532119	-6.79014438648814167	-0.188728616561762846	0.132681933603439967	9.19921043871949173	-0.792928108195505521	-0.0087234368577885444	0.00232373711505129291	0.00135965763030810498	0.0398395432288297588	9.05446367578811007	0.182025711231165926	0.364820449984901984	30.2966983736496971	0	0	0	-144.165461003237738	-0	21.0701644966087862	-0.478415952465345962	0.0760425858716047287	1.28368335093125197	1.42086778769175348	1.60157576775667865	-0.743251617262796427	0.011932023343260139	-0.0474320020012488491	-0.0246498525114312618	1.0000655496554955e-10	0.158264384281700227	1.07712983020155326e-05	-0.0546324634802921871	-0.0365952823986123582
0	0.00224358974358974343	5.57960869125527772e-07	-0.04636548267350174	0	0.0118095294497819522	-0.490979086365615269	-0.503055251034019268	0.0400122462679209506	4.85134118998618014e-05	0.0158266882661706326	7.99384595492052341	0.000561679863358273044	0.0680383660567563664	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.444769166976120733	-0.413047743407020551	-6.79014729863716759	-0.216315767848618501	0.152119531415005615	9.19921228031202176	-0.786179295351277063	-0.0083120680288571603	0.00279368660649746432	0.00175278646018277502	0.0493889966726165849	10.0638065310081757	0.212321527932670062	0.422607996084685911	30.282314829610911	0	0	0	-162.465537679810978	-0	21.0425195235156615	-0.503596452768690583	-0.0629405092612534967	1.28326601692504805	1.50606267979625441	1.76506794115500387	-0.826166364520856011	0.0118095294497819522	-0.0474320020012488491	-0.0246500561558437269	1.00008099292930071e-10	0.116934346932597882	9.69020712825268392e-06	-0.0546324634802921871	-0.0365949982758512066
0	0.0025641025641025641	8.05844383704799743e-07	-0.0819908490677025009	0	0.0116809835667788312	-0.516399574808675488	-0.529743898583331707	0.0400128807553390489	6.60429043907158158e-05	0.0192253903440729214	7.99391885937610347	0.000707044993793791389	0.0777418217813928419	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.499860230465351607	-0.413213856414752168	-6.79015021099324656	-0.240311452466951292	0.169053480269327122	9.19916703290785343	-0.779439787525953443	-0.00790083462085102058	0.00329186003574233766	0.00220641502875326126	0.0599950364703124087	11.1689488263363188	0.242602274885987623	0.485895758736486827	30.2664578991459621	0	0	0	-182.294183006666742	-0	21.0121112642622094	-0.530123280841137912	-0.217616654622662997	1.28283915167612306	1.59697443625963764	1.94224538404068392	-0.916967532340989933	0.0116809835667788312	-0.0474320020012488491	-0.0246503058335284832	1.00009977927781018e-10	0.0813098556358516911	8.73052809767918771e-06	-0.0546324634802921871	-0.0365946640165923376
0	0.00288461538461538478	1.13367760063827818e-06	-0.110641656974405145	0	0.0115457646743126023	-0.54456524423450825	-0.559386589885684793	0.0400136712459198268	8.71570054727779849e-05	0.022994493163633542	7.99400146653101462	0.000873624725687550236	0.087439941993717421	3.12061473897764241	4.48351400902082187	6.41139042278551408	-0.56156215639749385	-0.413388685487400542	-6.79015312359637502	-0.259714670301800177	0.182783619807282582	9.19906947024525223	-0.772710507797341628	-0.00748973964485657225	0.00382011634867753793	0.00272624619531586882	0.071756954281755464	12.3769077533313627	0.272866371760944693	0.555091078027079243	30.248891012357749	0	0	0	-203.739527321865921	-0	20.9787072130057481	-0.557977327934935041	-0.389195488943562706	1.28240309136081199	1.69376023026707911	2.13390646994914368	-1.01623690663405464	0.0115457646743126023	-0.0474320020012488491	-0.0246506066059470549	1.00012256047786672e-10	0.0526598148828994403	7.87753635296312571e-06	-0.0546324634802921871	-0.0365942774061817008
